WKT;id;nombre;direccion;telefono;email;web;mecanica_s;horario_de;calle;altura;direccion_;barrio;comuna
POINT (-58.407180097429716 -34.637212256248311);27;Power Bikes;Caseros 3081;49120141;jorge_samite@hotmail.com;;False;;CASEROS AV.;3081;CASEROS AV. 3081;Parque Patricios;Comuna 4
POINT (-58.464809711571107 -34.615647760878744);23;Probikes;Boyaca 1130;45820876;info@probikes.com.ar;http://www.probikes.com.ar/;False;Lun a vier de 9 a 19 / Sáb de 9 a 16;BOYACA;1130;BOYACA 1130;Villa Gral. Mitre;Comuna 11
POINT (-58.425982052385855 -34.581377735345995);2;Roda2oro;Oro 2305;47740403;Roda2oro@gmail.com;http://www.roda2oro.com/;False;Lun a vier de 10 a 13 y de 14.30 a 19 / Sáb de 10 a 13;FRAY JUSTO SANTAMARIA DE ORO;2305;FRAY JUSTO SANTAMARIA DE ORO 2305;Palermo;Comuna 14
POINT (-58.471563155063315 -34.544188736849968);43;Rodados Atalaya;Av.Cabildo 4337;47022952;atalaya@rodadosatalaya.com;http://www.rodadosatalaya.com.ar/;False;Lun a Vier de 9 a 12 y de 15 a 19 / Sáb de 9 a 14;CABILDO AV.;4337;CABILDO AV. 4337;Nuñez;Comuna 13
POINT (-58.50002826235054 -34.565346158865594);63;Rodados Daye;Av. Crisologo Larralde 569;45414374;mdaye@dayebicycles.com;http://www.dayebicycles.com/dayebicycl;False;Lun a Vier de 10 a 19 y Sáb de 10 a 16;LARRALDE, CRISOLOGO AV.;5690;LARRALDE, CRISOLOGO AV. 5690;Villa Urquiza;Comuna 12
POINT (-58.51353847440199 -34.622590150497047);64;Rodados Daye;Lope de Vega 1887;45676269;mdaye@dayebicycles.com;http://www.dayebicycles.com/dayebicycl;False;Lun a Vier de 10 a 19 y Sáb de 10 a 16;LOPE DE VEGA AV.;1887;LOPE DE VEGA AV. 1887;Monte Castro;Comuna 10
POINT (-58.495004130371157 -34.58161501438537);38;Rodados Diaz;Av Mosconi 2255;45716481/45741613;info@rodasdosdiaz.com.ar;http://www.rodadosdiaz.com.ar/;False;Lun a Vier de 7 a 15/Sáb de 8 a 13;MOSCONI GENERAL AV.;2255;MOSCONI GENERAL AV. 2255;Villa Pueyrredon;Comuna 12
POINT (-58.386732475614927 -34.609581200764758);75;Rodados Ferreri;Av De Mayo 1454;43813683;https://www.facebook.com/rodadosferreri;http://www.rodadosferreri.com.ar;False;Lun-Mar-Mier y Vier de 10 a 20/Jue de 10 a 17/Sáb de 10 a 13;De Mayo Av;1454;DE MAYO AV. 1454;Monserrat;Comuna 1
POINT (-58.440244813566629 -34.608630865379297);24;Rodados La esquina;Av D¡az Velez 5201;49814931;rodadoslaesquina@gmail.com;http://www.rodadoslaesquina.com.ar/;True;Lun a Vier de 9.30 a 14 y de 15 a 20.30/Sábados de 9.30 a 20;DIAZ VELEZ AV.;5201;DIAZ VELEZ AV. 5201;Caballito;Comuna 6
POINT (-58.464975123249957 -34.603120487550719);81;Rodados Paternal;Donato Álvarez 2090;45864243;rodadospaternal@hotmail.com.ar;www.rodadospaternal.com.ar;True;Lun a Vier de 9 a 19.30/Sab de 9 a 17;Donato Álvarez;2090;ALVAREZ, DONATO, Tte. Gral. AV. 2090;Villa Gral. Mitre;Comuna 11
POINT (-58.368837636986555 -34.641341287386325);19;Rodados Saint Germain;Avenida Reg de Patricios 1;43022708;rodadossaintgermain@hotmail.com;;True;;REGIMIENTO DE PATRICIOS AV.;1228;REGIMIENTO DE PATRICIOS AV. 1228;Boca;Comuna 4
POINT (-58.459492450069483 -34.614276349255967);37;Rodados Schisano;Av. Donato Alvarez 1064;45848159;rodadoschisano@fibertel.com.ar;http://rodadoschisano.blogspot.com.ar/;False;;ALVAREZ, DONATO, Tte. Gral.;1064;ALVAREZ, DONATO, Tte. Gral. 1064;Flores;Comuna 7
POINT (-58.488195481760833 -34.648205232364916);34;Rodados Universo;Av Directorio 4699;46823627;info@rodadosuniverso.com.ar;http://www.rodadosuniverso.com.ar/;False;Lun a vier de 9 a 13 y de 15 a 20/Sáb de 9 a 14;DIRECTORIO AV.;4699;DIRECTORIO AV. 4699;Parque Avellaneda;Comuna 9
POINT (-58.488299538297156 -34.635174408247387);35;Rodados Universo;Av. Rivadavia 8829;46710478;info@rodadosuniverso.com.ar;http://www.rodadosuniverso.com.ar/;False;Lun a vier de 9 a 13 y de 15 a 20/Sáb de 9 a 14;RIVADAVIA AV.;8829;RIVADAVIA AV. 8829;Velez Sarsfield;Comuna 10
POINT (-58.464270843804186 -34.644778606715292);46;Rodados Vidal;Av.Eva Per¢n 3454;46128198;biciman75@hotmail.com;;False;;PERON, EVA AV.;3454;PERON, EVA AV. 3454;Flores;Comuna 7
POINT (-58.436122053700132 -34.585802292722505);86;Rouen;Gorriti 5484;;;;False;;Gorriti;5484;GORRITI 5484;Palermo;Comuna 14
POINT (-58.436167819768542 -34.58584196626402);88;Rouen;Gorriti 5484;1565452933;info@rouen.cc;https://www.facebook.com/RouenCycling;False;;Gorriti;5484;GORRITI 5484;Palermo;Comuna 14
POINT (-58.446307360510751 -34.571112522466535);28;Runner Bike;Ciudad de la Paz 771;47719277;ventas@runnerbike.com.ar;http://www.runnerbike.com.ar/;True;Lun a Vier de 10 a 14 y 15 a 20/Sáb de 10 a 14 y de 15 a 19;CIUDAD DE LA PAZ;771;CIUDAD DE LA PAZ 771;Colegiales;Comuna 13
POINT (-58.413237106154021 -34.595111011484548);69;Santilli;Soler 3470;49630416;zekito@hotmail.com;;True;Lun a Vier de 10 a 19 / Sáb de 10 a 14;soler;3470;SOLER 3470;Recoleta;Comuna 2
POINT (-58.41314701290792 -34.598095445517828);96;Schisano Bikes;Av. Córdoba 3300;48613334;schisano@schisano.com.ar;https://www.facebook.com/schisanobikes;False;;Córdoba;3300;CORDOBA AV. 3300;Almagro;Comuna 5
POINT (-58.452407147488202 -34.595890621464918);99;Service Top;Av. Dorrego 311;48560799;servicetop@hotmail.com;www.bicispersonalizadas.com;False;Lunes a Viernes de 10 a 19/Sábados de 9 a 13;Dorrego;311;DORREGO AV. 311;Villa Crespo;Comuna 15
POINT (-58.433241225935149 -34.600409108659932);84;Sin Rueditas;Aguirre 184;48579594;bicisinrueditas@gmail.com;;False;;Aguirre;184;AGUIRRE 184;Villa Crespo;Comuna 15
POINT (-58.42375745762466 -34.601523411993);25;Sin-Limite;Humahuaca 4193;48635311;info@sin-limite.com.ar;http://www.sin-limite.com.ar/;True;Lun a Vie de 14 a 20:30/Sáb de 10 a 15;HUMAHUACA;4193;HUMAHUACA 4193;Almagro;Comuna 5
POINT (-58.436033026386404 -34.588590162978576);61;Soho Bike;Godoy cruz 1518;47772394;diosteama_tantocomoyo@hotmail.com.ar;;True;Lun a vier de 10 a 20;GODOY CRUZ;1518;GODOY CRUZ 1518;Palermo;Comuna 14
POINT (-58.435323824435812 -34.564653763321928);82;Soldani Cycling;Av. del Libertador 4884;47724408;store@soldanicycling.com;http://www.soldainicycling.com/;False;Lun a vier de 9 a 13 y de 16 a 20;Del Libertador;4884;DEL LIBERTADOR AV. 4884;Palermo;Comuna 14
POINT (-58.423999358093582 -34.590040736856061);83;Soldani Cycling;Costa Rica 4401;39634083;costarica@soldanicycling.com;http://www.soldainicycling.com/;False;Lun a Vier de 10 a 20/Sáb de 10 a 16;Costa Rica;4401;COSTA RICA 4401;Palermo;Comuna 14
POINT (-58.418050095676485 -34.6258654742837);85;Team Bikes;San Juan 3738;49228973;info@team-bikes.com.ar;http://team-bikes.com.ar/;False;Lun a vier de 10 a 13 y de 15 a 20/Sáb de 10 a 17:30;San Juan;3738;SAN JUAN AV. 3738;Boedo;Comuna 5
POINT (-58.414110858907392 -34.595764248867646);54;Tecno Bikes;billinghurst 1186;49627158;vicicletero@hotmail.com;;True;Lun a vier de 10 a 20/Sáb de 10 a 16;BILLINGHURST;1186;BILLINGHURST 1186;Recoleta;Comuna 2
POINT (-58.484230392602669 -34.554646986985112);51;Thunder Bikes;Av. Ricardo Balb¡n 3827;45470451;info.thunderbikes@gmail.com;http://www.thunderbikes.com.ar;False;Lun a vier 9 a 13 y 15 a 19/Sáb de 10 a 14 y 15 a 17;BALBIN, RICARDO, DR. AV.;3827;BALBIN, RICARDO, DR. AV. 3827;Saavedra;Comuna 12
POINT (-58.466750728155766 -34.551100503896834);100;Tienda Bike;Av Cabildo 3490;35296723;info@TiendaBike.com.ar;www.TiendaBike.com.ar;True;Lunes a Viernes de 10 a 13 y de 15 a 20/Sábados de 10 a 20;Cabildo;3490;CABILDO AV. 3490;Nuñez;Comuna 13
POINT (-58.409027147850956 -34.581143645537146);76;Tu Hogar Sustentable;Cabello 3433;60913838;info@tuhogarsustentable.com;http://www.tuhogarsustentable.com/;False;Lun a Vier 10 a 13.30 y 15 a 20/Sáb 10 a 14 y de 15 a 18;Cabello;3433;CABELLO 3433;Palermo;Comuna 14
POINT (-58.489820880694189 -34.574686604600466);65;Urquiza Bikes (sólo venta);Bucarelli 2530;45236031;consultas@urquizabikes.com.ar;http://urquizabikes.com.ar;False;Lun a Vier de 10.30 a 14 y de 16.30 - 20.30/Sáb de 9.30 a 14.30;BUCARELLI;2530;BUCARELLI 2530;Villa Urquiza;Comuna 12
POINT (-58.496925795586598 -34.611342655820103);78;Venton;San Nicolás 2338 Puerta B;45680123;info@venton.com.ar;venton.com.ar;False;Lun a vier de 9 a 18;San Nicolás;2338;SAN NICOLAS 2338;Villa Del Parque;Comuna 11
